model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
shuffled20_32,fixed horizon 25,realized_fpr_at_most,0.05,True,0.025,0.035657453807730756,0.07356255656468416,0.469290266176736,0.9571391037182966,0.0428608962817032
shuffled20_32,fixed horizon 25,realized_fpr_at_most,0.1,True,0.075,0.08401420758891695,0.14756195134787953,0.4406136367016253,0.9091178771001516,0.09088212289984841
shuffled20_32,fixed horizon 25,catch_rate_at_least,0.25,True,0.15,0.17225391489855196,0.2715270251214801,0.45848424523263576,0.8401798076675705,0.15982019233242944
shuffled20_32,fixed horizon 25,catch_rate_at_least,0.5,False,0.3,0.38135823679796604,0.4909944663616246,0.4043013250875795,0.6837017723787275,0.31629822762127235
shuffled20_32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.38135823679796604,0.4909944663616246,0.4043013250875795,0.6837017723787275,0.31629822762127235
shuffled20_32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.020251890005247554,0.05060956279749135,0.4287323133161746,0.9699144234478126,0.0300855765521873
shuffled20_32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.025,0.029684903998988772,0.07345151950297867,0.4708499352138055,0.9562740792047408,0.04372592079525911
shuffled20_32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.075,0.07273868444619865,0.16492218908506076,0.5336651615138366,0.9147004404741429,0.08529955952585712
shuffled20_32,fixed horizon 37,catch_rate_at_least,0.25,True,0.15,0.16636903303784412,0.3088654708517041,0.5659469109465916,0.8522643590600165,0.14773564093998354
shuffled20_32,fixed horizon 37,catch_rate_at_least,0.5,True,0.3,0.3817039826432597,0.5700904771670444,0.4811925408877724,0.6828707001629691,0.31712929983703064
shuffled20_32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.3817039826432597,0.5700904771670444,0.4811925408877724,0.6828707001629691,0.31712929983703064
shuffled_residual20_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.020294566659251438,0.09573765211867862,0.5891093744764919,0.9623067744437745,0.03769322555622534
shuffled_residual20_32,by earliest stop,realized_fpr_at_most,0.05,True,0.025,0.040276986640708216,0.14764190163178628,0.5710397372223677,0.9379415420398949,0.06205845796010501
shuffled_residual20_32,by earliest stop,realized_fpr_at_most,0.1,True,0.05,0.06789498058971333,0.21749047980862227,0.549809606007772,0.9021448818000307,0.09785511819996924
shuffled_residual20_32,by earliest stop,catch_rate_at_least,0.25,True,0.075,0.10731300381996149,0.29990189509385096,0.59877751722716,0.8745058000077552,0.12549419999224465
shuffled_residual20_32,by earliest stop,catch_rate_at_least,0.5,True,0.2,0.2954955716734936,0.5258723909607196,0.5260043715800717,0.7311743546090701,0.2688256453909298
shuffled_residual20_32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.42884199764810127,0.6540068545558009,0.4526074255425219,0.6213725189986294,0.37862748100137056
shuffled_residual20_32,fixed horizon 13,realized_fpr_at_most,0.01,False,0.01,0.02090693748286221,0.060782405999689634,0.41804044044420674,0.9653475285540234,0.03465247144597665
shuffled_residual20_32,fixed horizon 13,realized_fpr_at_most,0.05,True,0.025,0.03639403629232673,0.08846131032757985,0.37159151634140364,0.9450250381958082,0.05497496180419177
shuffled_residual20_32,fixed horizon 13,realized_fpr_at_most,0.1,True,0.075,0.08095143655781879,0.15678245671340546,0.2811803120813418,0.8901365354948082,0.10986346450519173
shuffled_residual20_32,fixed horizon 13,catch_rate_at_least,0.25,True,0.2,0.20829341541885388,0.30446914520923324,0.25766586895335647,0.7795075217249181,0.22049247827508195
shuffled_residual20_32,fixed horizon 13,catch_rate_at_least,0.5,False,0.3,0.37492050459252624,0.451044619818343,0.20621509301691415,0.6411652816805518,0.35883471831944813
shuffled_residual20_32,fixed horizon 13,catch_rate_at_least,0.75,False,0.3,0.37492050459252624,0.451044619818343,0.20621509301691415,0.6411652816805518,0.35883471831944813
shuffled_residual20_32,fixed horizon 25,realized_fpr_at_most,0.01,False,0.01,0.020177766856739714,0.05685325581339691,0.43157087549515183,0.9648632378476873,0.035136762152312574
shuffled_residual20_32,fixed horizon 25,realized_fpr_at_most,0.05,True,0.025,0.03284711043024919,0.08417558715094513,0.3894870231359657,0.9447008223777036,0.0552991776222964
shuffled_residual20_32,fixed horizon 25,realized_fpr_at_most,0.1,True,0.075,0.07178517789056188,0.16236232083754462,0.44789667478723433,0.8942563879846194,0.1057436120153807
shuffled_residual20_32,fixed horizon 25,catch_rate_at_least,0.25,True,0.15,0.16150095951029148,0.2827802680760262,0.4855761990170041,0.8401132110083701,0.15988678899162995
shuffled_residual20_32,fixed horizon 25,catch_rate_at_least,0.5,True,0.3,0.40888289299080427,0.5390329947870175,0.4071554978821298,0.6667159640487962,0.3332840359512036
shuffled_residual20_32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.40888289299080427,0.5390329947870175,0.4071554978821298,0.6667159640487962,0.3332840359512036
shuffled_residual20_32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.017394251164955955,0.06047595119716569,0.5019253061001275,0.9651325073142187,0.03486749268578123
shuffled_residual20_32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.05,0.04797872814461783,0.14381020471075817,0.4667192422662649,0.9145380638233316,0.0854619361766683
shuffled_residual20_32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.075,0.07301279509256418,0.19711382895491186,0.5269860725882559,0.8966497085153675,0.10335029148463255
shuffled_residual20_32,fixed horizon 37,catch_rate_at_least,0.25,True,0.15,0.17075435755496698,0.343814880906265,0.5576048516719695,0.8369966538523528,0.1630033461476473
shuffled_residual20_32,fixed horizon 37,catch_rate_at_least,0.5,True,0.3,0.42883800382198417,0.6302228057907364,0.4749913727948928,0.6614009689073888,0.3385990310926112
shuffled_residual20_32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.42883800382198417,0.6302228057907364,0.4749913727948928,0.6614009689073888,0.3385990310926112
