model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
late24_28_32,fixed horizon 37,catch_rate_at_least,0.25,True,0.15,0.19703011872950899,0.3226514369523497,0.4207233267305672,0.8285586428766957,0.17144135712330438
late24_28_32,fixed horizon 37,catch_rate_at_least,0.5,True,0.3,0.3844867450499444,0.5569713483721597,0.4066917476974529,0.6631644243173654,0.3368355756826345
late24_28_32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.3844867450499444,0.5569713483721597,0.4066917476974529,0.6631644243173654,0.3368355756826345
shuffled_late24_28_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.03203941679235796,0.05832160858073636,0.36962389277009255,0.9632938677441689,0.03670613225583103
shuffled_late24_28_32,by earliest stop,realized_fpr_at_most,0.05,True,0.025,0.0473333369245134,0.08245316757842112,0.3601503366400227,0.9497468126862045,0.050253187313795356
shuffled_late24_28_32,by earliest stop,realized_fpr_at_most,0.1,True,0.075,0.09338475854211148,0.1769130903354027,0.44193967126285183,0.8928773174310279,0.10712268256897199
shuffled_late24_28_32,by earliest stop,catch_rate_at_least,0.25,True,0.15,0.18902325030302075,0.30130441227692745,0.493672499435213,0.8276777321035738,0.17232226789642618
shuffled_late24_28_32,by earliest stop,catch_rate_at_least,0.5,False,0.3,0.35735955672734726,0.4958727269312462,0.4764424959417723,0.6959212023754378,0.30407879762456236
shuffled_late24_28_32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.35735955672734726,0.4958727269312462,0.4764424959417723,0.6959212023754378,0.30407879762456236
shuffled_late24_28_32,fixed horizon 13,realized_fpr_at_most,0.01,False,0.01,0.029487829490770657,0.05020349540024995,0.3703283701894813,0.969383027970452,0.030616972029548085
shuffled_late24_28_32,fixed horizon 13,realized_fpr_at_most,0.05,True,0.025,0.04404286791639732,0.06962390128465179,0.36737765801930844,0.9556793682652709,0.04432063173472909
shuffled_late24_28_32,fixed horizon 13,realized_fpr_at_most,0.1,True,0.075,0.08573837920408937,0.12863052738336714,0.33210786067414816,0.9105687965629141,0.08943120343708577
shuffled_late24_28_32,fixed horizon 13,catch_rate_at_least,0.25,True,0.2,0.20725037742824687,0.2666519744435566,0.34800455253761625,0.811160616672787,0.18883938332721295
