model,alpha,eval_time,n_tasks,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
mlp,0.2,by earliest stop,10,0.17532039318153542,0.30773169137022993,0.015416666666666667,0.39375000000000004,0.2236523077454462,0.31252866384469385,0.05298585059463391,0.4279610243644402,0.5241659572819554,0.034834024449704966,0.5052423168536515,0.5488385616028122,0.34052381559342604,0.26338457754023137,0.16777311277357498,0.5258772047102135,0.8757818182481248,0.18205797538966023,0.7486705257328368,0.9721991380000425,0.659476184406574,0.26338457754023137,0.4759240706054976,0.8361970664530626,0.12421818175187524,0.1820579753896602,0.0252074122296726,0.25253527969021716
mlp,0.3,by earliest stop,10,0.3723314936542974,0.4122399389285176,0.12402325107501393,0.6315559801755919,0.411526461383112,0.4221378116352127,0.15329301827855474,0.6691689337103605,0.5195974838644073,0.023140486221027844,0.5072801083270654,0.5357629138403069,0.1863615777945101,0.13650012512706333,0.09800435674293927,0.27578427730661115,0.6739889174716448,0.3438043140696918,0.4573096100463153,0.8773712331703499,0.8136384222054898,0.13650012512706336,0.7240683491375096,0.899223046802075,0.3260110825283552,0.3438043140696918,0.11985519083594268,0.5462655941560216
mlp,0.01,by final end,10,0.012916666666666668,0.029371305914295185,0.0,0.0325,0.1671883659059099,0.20466610553835266,0.05101749941213806,0.3048860612256994,0.5771358496196217,0.09080048510514696,0.5257807134021476,0.6365417903469859,0.9168395919522888,0.07889607813021608,0.8602014412517782,0.9704764182451002,0.9813190469050521,0.030569349673352324,0.9608012660441115,0.997770961279439,0.08316040804771116,0.07889607813021612,0.030206587063393263,0.13976068699290864,0.018680953094947834,0.030569349673352324,0.0022290113198243557,0.039592862129828384
mlp,0.025,by final end,10,0.025629432624113473,0.059320587481200254,0.0,0.06500886524822695,0.23764400142987432,0.23596111113450893,0.09846986290565111,0.38842854514138236,0.6060072844028804,0.09943315672430293,0.5469159713319474,0.6687486313394735,0.8839433007948263,0.11975838621373756,0.803874168414348,0.9565088932352684,0.961692472092429,0.05590716635822588,0.9234626806937025,0.9909854799159531,0.11605669920517357,0.11975838621373758,0.043669779680196336,0.1985476039765557,0.03830752790757101,0.05590716635822591,0.006000967326197685,0.07527945284488173
mlp,0.05,by final end,10,0.08888002364066194,0.1435515823257871,0.013194444444444444,0.18914893617021275,0.5203983131702581,0.3310463798843411,0.314941764354122,0.7266630083859223,0.715759144764798,0.12982758908461003,0.6392457327502283,0.7963599900148226,0.8458937953086675,0.1309731308281314,0.7558535998101855,0.9168800391928357,0.8958628029968004,0.10635949280022863,0.8262249722897973,0.9577980149320124,0.1541062046913325,0.13097313082813142,0.0815802601098881,0.24198417140048029,0.10413719700319961,0.10635949280022866,0.042936116640832044,0.17623138649140102
mlp,0.075,by final end,10,0.14352012566878186,0.23662725466391069,0.023988669590643278,0.30942099819584395,0.7184781453188797,0.2407112671014799,0.5661847698678427,0.8602083842626647,0.7874790098250489,0.10336263103415093,0.7219226109070599,0.8498829913684073,0.790747267103199,0.11898468697505324,0.7128042737928448,0.8602552955418071,0.8259932718853934,0.1351701135038758,0.7396640188487013,0.9060762856091698,0.20925273289680085,0.11898468697505324,0.13912194863907476,0.28823794829124655,0.17400672811460663,0.13517011350387584,0.09343990964617001,0.26114966756130126
mlp,0.1,by final end,10,0.19873850915669647,0.2761647746109589,0.04987085769980507,0.39083193189424364,0.8224906390065453,0.18364916249939126,0.7027868620024198,0.9267054164946266,0.8118760649249243,0.10910165311275136,0.7387085099268871,0.8734148415910279,0.7304741094590492,0.1497394370056424,0.6344375730830907,0.8195939313752761,0.7580816899879937,0.16410629863747803,0.6542658945944192,0.8574453307951879,0.26952589054095083,0.1497394370056424,0.18184453736365938,0.3662132575324348,0.24191831001200637,0.16410629863747805,0.14355641343564335,0.34522657379307087
mlp,0.15,by final end,10,0.27160137064370454,0.3318160402915486,0.08401564151342211,0.4922946995147443,0.9378344396005703,0.07965552644392379,0.8834520819236326,0.9808932158557877,0.8331165344784328,0.14982590139864718,0.7327812033238601,0.9181935977607649,0.646913439751247,0.1591435944615563,0.5448945600353163,0.7438450761013252,0.6613780018988586,0.16486733594346753,0.5580097522668925,0.760794497249353,0.353086560248753,0.15914359446155632,0.26044208958845805,0.4574875150617883,0.3386219981011413,0.16486733594346756,0.23833752873840167,0.442075045009219
mlp,0.2,by final end,10,0.3286199662476429,0.3707726481186388,0.11727759439386691,0.5685570700481324,0.9525572248915228,0.06494809782672048,0.9092815989951802,0.9877799261426979,0.8119686293219399,0.17144248605316395,0.6998083917851858,0.9124243711738018,0.5750271534381006,0.1834040583668518,0.455793292569294,0.681250030077651,0.5886115380236239,0.18985218578481747,0.4660624791259532,0.6999954829845788,0.42497284656189943,0.18340405836685184,0.3211342101538842,0.5451006659186673,0.41138846197637624,0.18985218578481744,0.3012585978502323,0.5309537107907906
mlp,0.3,by final end,10,0.43908590617438614,0.420577096363017,0.18762007091572538,0.7011922101144988,0.9665763434103427,0.053805285333590844,0.9291748270009139,0.9956766056259758,0.7637452186179783,0.19574128961749462,0.6394589175195308,0.8799922296628263,0.43077837533791585,0.2547905117737923,0.2714204733631891,0.585161856527342,0.4420053099221968,0.2645342310043723,0.27663855975468293,0.6033557244275033,0.569221624662084,0.2547905117737923,0.41553624102798814,0.7288477779869614,0.5579946900778032,0.2645342310043723,0.39397530780414486,0.722749206922546
