model,fold,heldout_task,cp_seed,alpha,eval_time,n_validation_success,regression_calibration_count,modulation_calibration_count,band_width,realized_fpr,catch_rate,tnr,balanced_accuracy,caught_alarm_fraction,effective_alarm_fraction,caught_lead_fraction,effective_lead_fraction,success_false_alarm_fraction,any_alarm_rate,roc_auc_max_score
mlp,3,3,0,0.05,by final end,200,60,140,1.0001111397876883,0.08333333333333333,0.6538461538461539,0.9166666666666666,0.7852564102564102,0.652262443438914,0.7726331360946745,0.34773755656108596,0.22736686390532546,0.038461538461538464,0.38,0.9759615384615384
mlp,3,3,0,0.05,by earliest stop,200,60,140,1.0001111397876883,0.08333333333333333,0.19230769230769232,0.9166666666666666,0.5544871794871795,0.10641711229946524,0.8281571369806664,0.8935828877005347,0.1718428630193336,0.10695187165775401,0.14,0.7255608974358975
mlp,3,3,0,0.05,fixed horizon 50,200,60,140,1.000077373169303,0.10416666666666667,0.3076923076923077,0.8958333333333334,0.6017628205128205,0.29125,0.7819230769230769,0.70875,0.21807692307692306,0.41200000000000003,0.21,0.5881410256410257
mlp,3,3,0,0.05,fixed horizon 100,200,60,140,1.0001377766375519,0.10416666666666667,0.2692307692307692,0.8958333333333334,0.5825320512820513,0.35214285714285715,0.8255769230769231,0.6478571428571429,0.1744230769230769,0.22999999999999998,0.19,0.6157852564102564
mlp,3,3,0,0.05,fixed horizon 148,200,60,140,1.000158059065126,0.08333333333333333,0.23076923076923078,0.9166666666666666,0.5737179487179487,0.3153153153153153,0.841995841995842,0.6846846846846847,0.158004158004158,0.13513513513513514,0.16,0.7151442307692307
mlp,3,3,0,0.075,by final end,200,60,140,1.0000423491870145,0.10416666666666667,0.6730769230769231,0.8958333333333334,0.7844551282051282,0.5684065934065935,0.7095044378698224,0.4315934065934065,0.2904955621301776,0.032692307692307694,0.4,0.9759615384615384
mlp,3,3,0,0.075,by earliest stop,200,60,140,1.0000423491870145,0.10416666666666667,0.25,0.8958333333333334,0.5729166666666667,0.07239819004524886,0.7680995475113122,0.9276018099547512,0.23190045248868785,0.09090909090909091,0.18,0.7255608974358975
mlp,3,3,0,0.075,fixed horizon 50,200,60,140,1.001132336653229,0.125,0.3076923076923077,0.875,0.5913461538461539,0.53375,0.8565384615384617,0.46625000000000005,0.1434615384615383,0.5566666666666666,0.22,0.5881410256410257
mlp,3,3,0,0.075,fixed horizon 100,200,60,140,1.0000710295500508,0.10416666666666667,0.3269230769230769,0.8958333333333334,0.6113782051282052,0.2776470588235294,0.763846153846154,0.7223529411764706,0.23615384615384605,0.22999999999999998,0.22,0.6157852564102564
mlp,3,3,0,0.075,fixed horizon 148,200,60,140,1.0001097867504338,0.08333333333333333,0.25,0.9166666666666666,0.5833333333333333,0.25467775467775466,0.8136694386694386,0.7453222453222453,0.18633056133056136,0.13513513513513514,0.17,0.7151442307692307
