comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
independent FPR <= 0.05 operating points,shuffled_late24_28_32,baseline32,by earliest stop,0.025,0.025,10,0.0006562754995681847,-0.023880716575091575,0.0216988095238095,5,-0.03169990677566742,-0.06368451054664288,-0.0015141311697093028,3,-0.0020911572576385457,-0.024536673867681356,0.017916563605650512,4,0.09463414634146342
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.01,0.01,10,-0.002916521223874172,-0.029757546864899807,0.014668697478991586,5,-0.006862882373430046,-0.030943513071895426,0.013618252760874437,4,-0.009180809814481213,-0.030437053439292285,0.005254167598515988,5,0.6175609756097561
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.025,0.025,10,-0.00771756113327132,-0.03536754983419259,0.00917688492063491,5,-0.009482874382772965,-0.040683363042186574,0.016159785609646125,5,-0.010766056886543696,-0.039302653784687246,0.009922593423310982,5,0.6136585365853658
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.05,0.05,10,-0.0054505109110561,-0.03339329789451741,0.014426918653640302,4,-0.0064874526195012995,-0.03829110219845514,0.02375253708484434,3,-0.007271176186896264,-0.035833602998308886,0.016499130996341926,4,0.6995121951219512
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.075,0.075,10,-0.009288232841604443,-0.03586252298355241,0.012012743959372352,4,-0.00788614747884524,-0.040689433303624456,0.024657352275288362,5,-0.006974764653872155,-0.03440837858220211,0.01776306448397213,4,0.6760975609756098
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.1,0.1,10,-0.009607446646291703,-0.036474853439243685,0.01596454476099381,4,-0.013269794291802398,-0.04511696134775747,0.018727407595221974,4,-0.009769673328699687,-0.035964190548014065,0.012916566026941282,3,0.4497560975609756
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.15,0.15,10,-0.026260047926726548,-0.07063970909799192,0.011113657584245788,4,-0.03653420854932009,-0.07774171568627448,0.00674806710615276,2,-0.017833131465484396,-0.05323696923991038,0.01610536359065771,3,0.14926829268292682
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.2,0.2,10,-0.022226309908806308,-0.08062108753035581,0.026305734671035957,4,-0.035815588610923293,-0.09065679738562091,0.0183080159266772,4,-0.01770420415734817,-0.06555781700213241,0.028425773651635712,3,0.2624390243902439
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 13,0.3,0.3,10,-0.023181833840478026,-0.09404743606385642,0.04170053902736829,2,-0.03451826855437404,-0.10339280723905725,0.03095922208050748,4,-0.032109030887225616,-0.09421515282919697,0.024987881631365352,4,0.3795121951219512
independent FPR <= 0.05 operating points,shuffled_late24_28_32,baseline32,fixed horizon 13,0.025,0.01,10,0.011638517201752494,-0.01691570364684336,0.03845486577964516,6,0.012557523510971783,-0.014621609477124193,0.043243050330895136,6,0.004522849890699785,-0.01856274117560377,0.024682915902274394,5,0.49658536585365853
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.01,0.01,10,-0.0015231738849385951,-0.028678696491417084,0.0161073739495798,6,-0.0007154598725592681,-0.024456332442067737,0.01904158752842826,5,-0.0036615239207490762,-0.024725558823529413,0.011341864886184345,5,0.9609756097560975
