comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.01,0.01,10,0.005072841647776013,-0.010319865064666605,0.026536802514072245,3,-0.0010935420872232998,-0.02404251175325871,0.022963583944769002,5,-0.0009348307650941013,-0.013824269042078693,0.01117495302836253,4,0.92
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.025,0.025,10,0.0036673543551718536,-0.015245694707617163,0.03050420727646059,4,-0.011329796219177712,-0.0445658920995445,0.02122883420641039,4,-0.008030296819912519,-0.028383367466845437,0.00965592662470832,4,0.5453658536585366
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.05,0.05,10,0.0038983665920336655,-0.029534757170000956,0.04786441597474972,4,-0.02059817255608179,-0.07556309298380448,0.03459869711081005,4,-0.0146396796299739,-0.04760397399068533,0.01244120595955625,4,0.49658536585365853
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.075,0.075,10,0.004876324313114134,-0.03782635149295727,0.06381641926996313,4,-0.024628533309247885,-0.08893030851278641,0.0468344084769611,3,-0.015533058157625823,-0.0481198799764362,0.013635313722370822,4,0.5102439024390244
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.1,0.1,10,0.00602360738679467,-0.04239013658581319,0.06836619743148319,3,-0.027335767352923805,-0.09701339166140914,0.050031931978680576,3,-0.015317670566152469,-0.05686917898477873,0.024688301459354724,3,0.5063414634146342
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.15,0.15,10,0.0034598912162145555,-0.051804917258729544,0.07211348402025351,4,-0.02829440068524707,-0.0906047888657598,0.040514729638771244,3,-0.011373648379897575,-0.04949520706466477,0.027471679370644955,3,0.44
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.2,0.2,10,-0.00963084045714786,-0.06954841892611466,0.05621461809664402,4,-0.04266684523043983,-0.11010847180276359,0.024317472423824982,4,-0.012564802400110809,-0.05756431232142133,0.032637295496583986,5,0.2839024390243902
same nominal alpha,shuffled20_32,baseline32,fixed horizon 37,0.3,0.3,10,-0.039024574101017576,-0.10091519077441474,0.02121102664312622,4,-0.05703695036084241,-0.13060571752353964,0.009444909663049497,5,-0.018333997318147437,-0.06562993495345344,0.02921957842465015,5,0.18048780487804877
independent FPR <= 0.05 operating points,shuffled20_32,baseline32,fixed horizon 37,0.025,0.05,10,-0.016451875351416158,-0.04358444850385931,0.011737482275530833,2,-0.06340975650613159,-0.11681522987174937,-0.01985933740215616,1,-0.03980600127674809,-0.07522928548553749,-0.011651493840843746,2,0.018536585365853658
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.01,0.01,10,6.613200249850625e-05,-0.026310936555421115,0.027675328149925307,4,0.014838318538690182,-0.018531005289263575,0.05123511694547466,5,0.004289654885190295,-0.02108253500931061,0.03578882844181468,4,0.4770731707317073
