model,cp_seed,alpha,eval_time,roc_auc_max_score_macro,realized_fpr_macro,catch_rate_macro,balanced_accuracy_macro,caught_alarm_fraction_macro,effective_alarm_fraction_macro,caught_lead_fraction_macro,effective_lead_fraction_macro
lstm,4,0.2,by earliest stop,0.6517104515167393,0.3844025137556164,0.5890459143577449,0.6023217003010642,0.6340071902237708,0.7461478962594251,0.36599280977622917,0.2538521037405749
lstm,5,0.2,by earliest stop,0.6517104515167393,0.39135080393413524,0.5750277242689971,0.5918384601674309,0.5069876778861448,0.6992587129277061,0.4930123221138552,0.30074128707229386
lstm,6,0.2,by earliest stop,0.6517104515167393,0.34455332266758576,0.5362262812845716,0.5958364793084929,0.5492803057151748,0.7362331207356041,0.4507196942848252,0.26376687926439585
lstm,7,0.2,by earliest stop,0.6517104515167393,0.3631513736281333,0.5634702966501053,0.6001594615109859,0.5277353850583234,0.6806723132519747,0.4722646149416766,0.31932768674802525
lstm,8,0.2,by earliest stop,0.6517104515167393,0.36638178267919147,0.5273729765764529,0.5804955969486307,0.5474416511498105,0.7473556291366719,0.45255834885018953,0.25264437086332814
lstm,9,0.2,by earliest stop,0.6517104515167393,0.4061643336288213,0.5828424192913508,0.5883390428312647,0.5345426859912744,0.6767723456343653,0.4654573140087256,0.3232276543656348
lstm,0,0.3,by earliest stop,0.6517104515167393,0.5488177534551058,0.7192948473746759,0.585238546959785,0.4674993587651599,0.5920884705584777,0.5325006412348401,0.40791152944152226
lstm,1,0.3,by earliest stop,0.6517104515167393,0.5229387611226397,0.7125072620448445,0.5947842504611024,0.4752565519353925,0.592002519001653,0.5247434480646075,0.407997480998347
lstm,2,0.3,by earliest stop,0.6517104515167393,0.49813635913658716,0.658463062453199,0.5801633516583059,0.4604867091475689,0.6263084764743521,0.5395132908524312,0.37369152352564805
lstm,3,0.3,by earliest stop,0.6517104515167393,0.5095890946566896,0.7149723174382869,0.6026916113907986,0.4648138501687038,0.5997894051242949,0.5351861498312962,0.4002105948757051
lstm,4,0.3,by earliest stop,0.6517104515167393,0.5480084008343196,0.7122254530754778,0.5821085261205792,0.414726381067554,0.5749667125295912,0.585273618932446,0.4250332874704088
lstm,5,0.3,by earliest stop,0.6517104515167393,0.4975664831665587,0.688300874655598,0.5953671957445197,0.41997382771839853,0.5773403629493107,0.5800261722816015,0.4226596370506893
lstm,6,0.3,by earliest stop,0.6517104515167393,0.519906233289139,0.7064916772871471,0.5932927219990041,0.47352949872982864,0.6029964908299402,0.5264705012701714,0.3970035091700598
lstm,7,0.3,by earliest stop,0.6517104515167393,0.5020255518122481,0.6519291576448837,0.5749518029163179,0.4590058433592854,0.6206894274542641,0.5409941566407146,0.37931057254573586
lstm,8,0.3,by earliest stop,0.6517104515167393,0.4884223166035791,0.6764232568422152,0.594000470119318,0.5125482361273785,0.6413836709735573,0.4874517638726214,0.3586163290264427
lstm,9,0.3,by earliest stop,0.6517104515167393,0.5058411721913377,0.6777845369918513,0.5859716824002568,0.454443509496229,0.6131564386930155,0.545556490503771,0.38684356130698455
lstm,0,0.01,by final end,0.8715333416097033,0.04024822695035461,0.10107004649716753,0.5304109097734064,0.21206997863247865,0.9300523886908406,0.7879300213675213,0.06994761130915929
lstm,1,0.01,by final end,0.8715333416097033,0.04676081456596574,0.21260012041341475,0.5829196529237245,0.4577602929165429,0.9299353581002505,0.542239707083457,0.07006464189974954
